original_size,width,height,input_scaling,leak_rate,damping,error,KR,MC
40,8,5,-0.165955990594852,0.000114374817344887,0.720324493442158,1.07823573400829,2,0
40,8,5,-0.128010195715992,0.549662477878709,0.0259262318278913,0.873803309420723,29,0
40,8,5,0.101595805149151,0.290904738912944,0.708147822618105,0.110274564572503,4,11.3440244063113
40,8,5,0.934059678027353,0.972684359964884,0.547232249175722,0.0592167307550932,12,6.11644017238383
40,8,5,-0.556013657820521,0.206719155339426,0.870732306177376,0.0457973560602143,5,7.55518567918234
40,8,5,0.785720302872003,0.821229123057832,0.331979805301177,0.0552691417484091,17,8.272606585827
40,8,5,-0.847383421252086,0.438409231440893,0.779918792240115,0.0611306890759502,7,6.94675348338688
40,8,5,0.746858805583632,0.86919454021392,0.968540662820932,0.0651410075878031,7,6.24892748851175
40,8,5,-0.9792516922286,0.495773293134146,0.501874592148739,0.0804445216730949,11,5.56016611428003
40,8,5,0.542641286533492,0.633648234926275,0.0207519493594015,0.208510510188956,13,0
40,8,5,-0.639460622246462,0.463218526498345,0.0194752414876246,0.228972937806998,15,0
40,8,5,-0.691674315240655,0.263315015185135,0.740049696515405,0.0785051989282087,6,6.40893130222384
40,8,5,0.55540482114764,0.824278532661369,0.237541220034912,0.0950943093529809,20,9.99967277782559
40,8,5,0.0278866875453805,0.870427685724813,0.773165052079297,0.46899138091189,3,11.5204331982196
40,8,5,0.697635394537157,0.0543632143064314,0.178895924920998,0.567017090161651,14,3.77324274611182
40,8,5,-0.553417841692922,0.550701456581181,0.523163341400676,0.0617349299213059,9,8.84271325988041
40,8,5,-0.410669994625781,0.191520786947495,0.530586755605294,0.0578088979743738,6,9.54081034122964
40,8,5,0.300748483479183,0.878601470921552,0.505453373734843,0.0532870242260667,9,9.20033092353464
40,8,5,-0.804932796501097,0.246937973166327,0.761249716674856,0.0750889975678104,6,6.13504631311362
40,8,5,0.176261602154548,0.891530729474708,0.897713727909418,0.0683866608792481,5,8.22558365766351
40,8,5,-0.902550238381745,0.72096634683123,0.289109659789817,0.84996732634549,20,7.54013420902136
40,8,5,-0.583078925282315,0.420538035314375,0.481681061763366,0.0614673453725541,9,8.8660305755172
40,8,5,0.0345957676931785,0.765459759396907,0.946962603814814,0.393001049374451,3,10.4844542927854
40,8,5,0.920034606671837,0.999867292623879,0.699512049949576,0.056766960849352,9,8.00240548299682
40,8,5,0.740248273254424,0.278838940701069,0.58227692867256,0.0712135761751964,7,7.5921354386376
40,8,5,-0.384130094750058,0.768297661537973,0.519391479305301,0.056303371440417,9,9.05906129748504
40,8,5,-0.148557178962208,0.73539729019968,0.814583740494553,0.0716182676048048,5,10.1186491194986
40,8,5,0.458027484578238,0.124967092009241,0.561239602327641,0.0488226830434511,6,8.96393054356483
40,8,5,0.727519971140166,0.073256388083736,0.284905965227627,0.126089881698589,9,8.09556324178515
40,8,5,0.28828707213667,0.663047905335669,0.380748489635117,0.0638140267800725,10,10.2953200055153
40,8,5,-0.427892356678969,0.770312932218878,0.958105566519,0.0399255595807852,6,8.25707740952912
40,8,5,0.717778534586079,0.555128777998597,0.37271115497528,0.0426371309788467,13,7.36931461580645
40,8,5,-0.50297974512454,0.410940802996541,0.449975421050795,0.0673508561930133,9,9.12376654776348
40,8,5,-0.922876638237181,0.0927037553341333,0.780100460524675,0.0971617029042113,5,4.70342135271752
40,8,5,-0.0838901035518189,0.231487045035562,0.308349606964912,0.113649703637454,6,14.7445429672804
40,8,5,0.457014383191451,0.952180667406014,0.601614212370213,0.0520838733948191,8,8.66482527801793
40,8,5,0.888993205714614,0.192795028957158,0.464098174304408,0.0879415368397027,9,7.73083041884352
40,8,5,-0.230453760966512,0.94419963580742,0.859707846590619,0.0599959129276783,6,8.68762514508677
40,8,5,0.0937783122907094,0.820401879898381,0.797899021282605,0.0793662957964546,4,10.1463588379566
40,8,5,-0.184625943839428,0.788534877486753,0.0553660401118601,0.815701625369841,37,0.914695627966492
40,8,5,-0.49815275251012,0.676816241110558,0.0460958206726118,0.724905388870479,27,0
40,8,5,-0.250919762305275,0.731993941811405,0.950714306409916,0.0568002475439705,5,8.03416603220958
40,8,5,-0.769890867220442,0.133390964185988,0.609066539279481,0.0961595396716744,6,6.22285401492323
40,8,5,0.669684297331299,0.744640481679518,0.10479610436987,0.556273159815553,33,0.479960692556954
40,8,5,0.9780230269512,0.281447301955063,0.549544726844725,0.0931282121547766,8,7.64623530620218
40,8,5,0.567664701611501,0.249043091515749,0.63483370605273,0.051675136658707,7,7.01893150785275
40,8,5,-0.773023056212701,0.728734633501106,0.974483094436457,0.0832170086136788,7,6.09069376013395
40,8,5,-0.965019458137695,0.284861167473918,0.891573267180258,0.0666468375100099,6,5.46295181790606
40,8,5,-0.398071088288171,0.926335135059176,0.247061831961814,0.17682992545801,16,10.2066795377021
40,8,5,-0.0107967089239571,0.255473923757211,0.228083104449336,0.753585857098278,3,18.2125156386883
40,8,5,0.351462831007105,0.343303672542592,0.044712182202946,0.506327282033146,27,0.187407294040014
40,8,5,0.646220681419584,0.210770639931294,0.0261179815698673,0.199981014659298,8,0
40,8,5,0.693324814420268,0.454875402405753,0.561165540265034,0.0529846185125039,8,8.30156923400093
40,8,5,-0.159634065718452,0.184876687761452,0.363239496965086,0.0795743804161334,6,11.5465299506143
