original_size,width,height,input_scaling,leak_rate,damping,error,KR,MC
40,8,5,-0.165955990594852,0.000114374817344887,0.720324493442158,1.76168290246044,2,0
40,8,5,-0.128010195715992,0.549662477878709,0.0259262318278913,1.03783002812258,29,0
40,8,5,0.101595805149151,0.290904738912944,0.708147822618105,0.494551713345864,4,11.3440244063113
40,8,5,0.934059678027353,0.972684359964884,0.547232249175722,1.26724288398029,12,6.11644017238383
40,8,5,-0.556013657820521,0.206719155339426,0.870732306177376,0.405838887853012,5,7.55518567918234
40,8,5,0.785720302872003,0.821229123057832,0.331979805301177,1.46667116132749,17,8.272606585827
40,8,5,-0.847383421252086,0.438409231440893,0.779918792240115,0.761641877704149,7,6.94675348338688
40,8,5,0.746858805583632,0.86919454021392,0.968540662820932,0.970607971909044,7,6.24892748851175
40,8,5,-0.9792516922286,0.495773293134146,0.501874592148739,0.97448178981648,11,5.56016611428003
40,8,5,0.542641286533492,0.633648234926275,0.0207519493594015,0.972736317621004,13,0
40,8,5,-0.639460622246462,0.463218526498345,0.0194752414876246,0.873342715333015,15,0
40,8,5,-0.691674315240655,0.263315015185135,0.740049696515405,0.509536923727821,6,6.40893130222384
40,8,5,0.55540482114764,0.824278532661369,0.237541220034912,1.45558976219263,20,9.99967277782559
40,8,5,0.0278866875453805,0.870427685724813,0.773165052079297,1.24410930473922,3,11.5204331982196
40,8,5,0.697635394537157,0.0543632143064314,0.178895924920998,1.44836221587635,14,3.77324274611182
40,8,5,-0.553417841692922,0.550701456581181,0.523163341400676,0.884968966209142,9,8.84271325988041
40,8,5,-0.410669994625781,0.191520786947495,0.530586755605294,0.397850048975251,6,9.54081034122964
40,8,5,0.300748483479183,0.878601470921552,0.505453373734843,1.09311054507343,9,9.20033092353464
40,8,5,-0.804932796501097,0.246937973166327,0.761249716674856,0.514465341111372,6,6.13504631311362
40,8,5,0.176261602154548,0.891530729474708,0.897713727909418,0.84477312961225,5,8.22558365766351
40,8,5,-0.902550238381745,0.72096634683123,0.289109659789817,1.64212152345825,20,7.54013420902136
40,8,5,-0.583078925282315,0.420538035314375,0.481681061763366,0.784166580140942,9,8.8660305755172
40,8,5,0.0345957676931785,0.765459759396907,0.946962603814814,1.23977513399666,3,10.4844542927854
40,8,5,0.920034606671837,0.999867292623879,0.699512049949576,1.17167892178186,9,8.00240548299682
40,8,5,0.740248273254424,0.278838940701069,0.58227692867256,0.58518359886675,7,7.5921354386376
40,8,5,-0.384130094750058,0.768297661537973,0.519391479305301,1.00293925402708,9,9.05906129748504
40,8,5,-0.148557178962208,0.73539729019968,0.814583740494553,0.76719128116955,5,10.1186491194986
40,8,5,0.458027484578238,0.124967092009241,0.561239602327641,0.319104065342924,6,8.96393054356483
40,8,5,0.727519971140166,0.073256388083736,0.284905965227627,0.539615526970055,9,8.09556324178515
40,8,5,0.28828707213667,0.663047905335669,0.380748489635117,1.04754889325255,10,10.2953200055153
40,8,5,-0.427892356678969,0.770312932218878,0.958105566519,0.86256839380724,6,8.25707740952912
40,8,5,0.717778534586079,0.555128777998597,0.37271115497528,1.19128925546889,13,7.36931461580645
40,8,5,-0.50297974512454,0.410940802996541,0.449975421050795,0.781300238863565,9,9.12376654776348
40,8,5,-0.922876638237181,0.0927037553341333,0.780100460524675,0.338432016047362,5,4.70342135271752
