original_size,width,height,input_scaling,leak_rate,damping,error,KR,MC,Input_type
36,12,3,-0.165955990594852,0.000114374817344887,0.720324493442158,0.0161843459441454,6,12.6957858850436,"lu"
36,12,3,-0.128010195715992,0.549662477878709,0.0259262318278913,0.0544136070809745,35,0,"lu"
36,12,3,0.101595805149151,0.290904738912944,0.708147822618105,0.0149344248706502,5,12.9163280334306,"lu"
36,12,3,0.934059678027353,0.972684359964884,0.547232249175722,0.0245094121946765,10,11.147063435242,"lu"
36,12,3,-0.556013657820521,0.206719155339426,0.870732306177376,0.0202854179172008,7,11.5523789830421,"lu"
36,12,3,0.785720302872003,0.821229123057832,0.331979805301177,0.0294374816466883,15,7.95663290414045,"lu"
36,12,3,-0.847383421252086,0.438409231440893,0.779918792240115,0.0221635058931299,8,11.4949546614215,"lu"
36,12,3,0.746858805583632,0.86919454021392,0.968540662820932,0.0197602174118174,7,11.1375255347805,"lu"
36,12,3,-0.9792516922286,0.495773293134146,0.501874592148739,0.0240996390461217,12,8.84326850498305,"lu"
36,12,3,0.542641286533492,0.633648234926275,0.0207519493594015,0.0617927631038177,33,0.109451935228412,"lu"
36,12,3,-0.639460622246462,0.463218526498345,0.0194752414876246,0.0629466081087824,29,0.340974529799366,"lu"
36,12,3,-0.691674315240655,0.263315015185135,0.740049696515405,0.0208899176253262,8,11.7736982190558,"lu"
36,12,3,0.55540482114764,0.824278532661369,0.237541220034912,0.0318004825667063,18,9.41461249777941,"lu"
36,12,3,0.0278866875453805,0.870427685724813,0.773165052079297,0.0148611115612458,3,12.167783414934,"lu"
36,12,3,0.697635394537157,0.0543632143064314,0.178895924920998,0.0367400709603001,23,4.68834490743803,"lu"
36,12,3,-0.553417841692922,0.550701456581181,0.523163341400676,0.0203667943771117,10,12.0517612979799,"lu"
36,12,3,-0.410669994625781,0.191520786947495,0.530586755605294,0.0190789991245075,9,13.3540878450772,"lu"
36,12,3,0.300748483479183,0.878601470921552,0.505453373734843,0.0178417227797822,9,14.1047617951938,"lu"
36,12,3,-0.804932796501097,0.246937973166327,0.761249716674856,0.0219093818613173,8,11.5892281674261,"lu"
36,12,3,0.176261602154548,0.891530729474708,0.897713727909418,0.0153499832602453,5,11.9151533060868,"lu"
36,12,3,-0.902550238381745,0.72096634683123,0.289109659789817,0.0329603107674239,17,6.75842242634622,"lu"
36,12,3,-0.583078925282315,0.420538035314375,0.481681061763366,0.0209839893357174,10,12.2617899445465,"lu"
36,12,3,0.0345957676931785,0.765459759396907,0.946962603814814,0.0147078523038707,3,11.1463691530555,"lu"
36,12,3,0.920034606671837,0.999867292623879,0.699512049949576,0.0239150486040272,9,11.636004723426,"lu"
36,12,3,0.740248273254424,0.278838940701069,0.58227692867256,0.0227726407314498,10,11.4779635686453,"lu"
36,12,3,-0.384130094750058,0.768297661537973,0.519391479305301,0.0187907638848421,9,13.5390762471432,"lu"
36,12,3,-0.148557178962208,0.73539729019968,0.814583740494553,0.0157846612532165,5,12.2783619823588,"lu"
36,12,3,0.458027484578238,0.124967092009241,0.561239602327641,0.0201383958260035,9,11.9823094918216,"lu"
36,12,3,0.727519971140166,0.073256388083736,0.284905965227627,0.0311870664249066,17,8.39232882563321,"lu"
